Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
William Briggs	Ex-Captain	FREEPORT FIRE DEPARTMENT	6/15/1953	20 Top
William Cessford	Firefighter	UTICA FIRE DEPARTMENT	07/14/1857	17 Bottom
William Clark	Lieutenant	BUFFALO FIRE DEPARTMENT	5/13/1903	13 Bottom
William Cleator	Firefighter	ROCHESTER FIRE DEPARTMENT	11/21/1857	17 Bottom
William Cruickshank	Firefighter	MAMARONECK FIRE DEPARTMENT	6/15/1988	11 Top
William D. Austin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/17/1947	15 Top
William Dickman	Driver	BUFFALO FIRE DEPARTMENT	10/30/1896	14 Bottom
William Doyle	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/1/1982	12 Top
"William E. Akin, Jr."	Fire Police Captain    	GHENT VOLUNTEER FIRE COMPANY NO. 1    	10/19/2010	12 Top
William E. Hughes	Firefighter	HAVERSTRAW FIRE DEPARTMENT	1/8/1906	15 Top
William E. Lehmann	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/24/1939	17 Top
William E. Schalle	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/4/1919	6 Top
William Egan	Lieutenant	SYRACUSE FIRE DEPARTMENT	12/9/1951	14 Top
William F. Boon	Lieutenant	ROCHESTER FIRE DEPARTMENT	1/28/1902	13 Bottom
William F. Bradley	Firefighter	TROY FIRE DEPARTMENT	08/06/1845	19 Bottom
"William F. Carter, Sr."	Firefighter	ALCAN FIRE DEPARTMENT	11/30/1990	11 Top
William F. Fisher	Driver	TONAWANDA FIRE DEPARTMENT	1/9/1942	17 Top
William F. Jeffery	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	12/26/1902	13 Bottom
William F. Klauck	Captain	NEW YORK CITY FIRE DEPARTMENT	3/30/1944	16 Top
William F. McCarron	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/17/1966	11 Bottom
William F. McNulty	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/17/1945	16 Top
William F. Mullen	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/4/1900	13 Bottom
William F. Russell	Captain	NEW YORK CITY FIRE DEPARTMENT	10/26/1962	12 Bottom
William G. Brown	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/6/1955	14 Top
William G. Schmid	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/14/1958	13 Top
William H. Borfitz	Firefighter	INWOOD FIRE DEPARTMENT	11/5/1942	17 Top
William H. Cadier	Firefighter	SYRACUSE FIRE DEPARTMENT	11/1/1954	14 Top
William H. Carlin	Ladderman	ALBANY FIRE DEPARTMENT	03/03/1883	15 Bottom
William H. Farweather	Firefighter	MIDDLETOWN FIRE DEPARTMENT	11/15/1997	10 Top
William H. Gillett	Firefighter	BUFFALO FIRE DEPARTMENT	01/25/1865	17 Top
"William H. Marshall, Jr."	Captain	ROOSEVELT FIRE DEPARTMENT	2/15/1991	11 Top
William H. Nash	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	09/14/1875	16 Bottom
William H. Smith	Firefighter	LA GRANGE FIRE DEPARTMENT	2/27/1988	11 Top
William J Rodgers	Battalion Chief	ALBANY FIRE DEPARTMENT	11/8/1937	18 Top
William J. Brady	Captain	NEW YORK CITY FIRE DEPARTMENT	2/8/1952	14 Top
William J. Bryan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/12/1961	12 Bottom
William J. Chin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/12/1880	16 Bottom
William J. Chin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	01/05/1889	17 Bottom
William J. Driscoll	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/28/1941	17 Top
William J. Dwyer	Firefighter	CAZENOVIA FIRE DEPARTMENT	8/21/1946	10 Bottom
William J. Farrell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/21/1966	11 Bottom
