Name	Rank	FIRE DEPARTMENT	Date of Death	Location on Memorial
Joseph P. DiBernardo 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	11/22/2011	  6 Top
Joseph Crawley	Assistant Chief	NEW YORK CITY FIRE DEPARTMENT	1/13/1925	  5 Top
John B. Doran	Engineer	NEW YORK CITY FIRE DEPARTMENT	6/25/1914	  4 Bottom
William C. Dugan	Firefighter	EAST MORICHES FIRE DEPARTMENT	1/1/1976	  8 Top
Thomas J. Earl	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/8/1976	  8 Top
Walter J. Tracey	Firefighter	NYBFU/STATIONED WITH FDNY	7/3/1966	 8 Top
John R. Graziano 	Captain 	NEW YORK CITY FIRE DEPARTMENT  	3/13/2015	21 Top
Toby Stockman	Firefighter	FRIENDSHIP FIRE DEPARTMENT	1/1/1976	  8 Top
Daniel O’Connell	Firefighter	PUTNAM LAKE FIRE DEPARTMENT	1/25/1999	  6 Top
James V. O’Donnell	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/28/1922	  6 Top
Ricardo Quinn	FDNY Paramedic	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Top
Leon Stark	Firefighter	GRANVILLE FIRE DEPARTMENT	2/1/1953	  7 Bottom
John K. Corcoran 	Battalion Chief 	NEW YORK CITY FIRE DEPARTMENT	1/11/2013	  3 Bottom
Robert Minnis	Driver	BUFFALO FIRE DEPARTMENT	5/19/1905	  3 Bottom
Vincent C. Innella	Firefighter	SPARROWBUSH ENGINE COMPANY	1/15/1979	  9 Top
George J. Scanlan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/19/1919	  6 Top
John P. Napolitano	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Bottom  
John Harmon	Firefighter	FRANKLIN FIRE DEPARTMENT	1/1/1977	  8 Top
George F. Woods	Firefighter	LOCKPORT FIRE DEPARTMENT	02/01/1882	  8 Top
Paul H. Keating	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Top
Edward J. Winewski	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/23/1975	  8 Top
Frank A. Palombo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  2 Bottom
Michael F. Mongelli 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	8/3/2012	   1 Bottom 
William J. Christopher	Firefighter	TROY FIRE DEPARTMENT	5/1/1922	  6 Top
Charles H. Furey	Captain	NEW YORK CITY FIRE DEPARTMENT	2/14/1930	  4 Top
"James Doyle, Jr."	Firefighter	PORT WASHINGTON FIRE DEPARTMENT	11/10/1947	  3 Bottom
William C. Rinsdale	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	8/1/1971	  7 Top
William M. Feehan	1st Deputy Commissioner	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Top
Mike J. Cunningham	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/12/1927	  5 Top
Thomas H. Geraghty	Firefighter	RHINEBECK FIRE DEPARTMENT	8/1/1932	  1 Bottom
John M. Crane	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/27/1927	  5 Top
Erich Lachmann     	Firefighter    	WASHINGTON HEIGHTS FIRE DEPARTMENT     		  2 Bottom
Edward J. Fox	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/27/1927	  5 Top
Henry Clay	Firefighter	TULLY FIRE DEPARTMENT	1/1/1974	  8 Top
"Joseph J. Angelini, Sr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Top
Irvin R. Saltsman	Firefighter	AVOCA HOSE COMPANY NO. 1	1/1/1980	  9 Top
Richard Laden	Firefighter	RICHFIELD SPRINGS FIRE DEPARTMENT	1/1/1980	  9 Top
Robert Pryor	Captain	EAST ROCKAWAY FIRE DEPARTMENT	10/10/1970	  7 Top
William Bostian	Fire Police Lieutenant	WEST WEBSTER FIRE DEPARTMENT	8/6/2005	   1 Bottom
James J. Hughes	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/3/1920	  6 Top
Michael O. Glynn	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	10/22/1967	  9 Bottom
Michael D. Falkouski	Assistant Chief	RENSSELAER FIRE DEPARTMENT	1/23/2005	   1 Top
Robert A. Klineline	Firefighter	LOCKPORT FIRE DEPARTMENT	6/18/1981	  2 Bottom
George E. Walker	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/26/1927	  5 Top
Thomas A. Casoria	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  7 Top
Edward J. Rall	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Bottom
Francis T. Keane 	Captain 	NEW YORK CITY FIRE DEPARTMENT	12/11/2006	  3 Bottom
John G. Bellew	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/23/2005	  1 Top
Robert J. Hassett	Firefighter	BETHPAGE FIRE DEPARTMENT	5/25/1978	  9 Top
Willliam E. Bennett	Chief	KENNEDY FIRE DEPARTMENT	9/4/2001	  4 Bottom
Michael L. Duffy 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	8/8/2017	  2 Top
Raymond Zahm	Firefighter	BUFFALO FIRE DEPARTMENT	12/18/1929	  4 Top
Charles Kraus	2nd Lieutenant	ROOSEVELT FIRE DEPARTMENT	11/8/1965	  9 Top
Stanley H. Skinner	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/8/1976	  8 Top
Harry L. Webber	Assistant Chief	BEEKMANTOWN FIRE DEPARTMENT	4/28/1965	  3 Top
Cornell L. Horne 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT	10/5/2014	  2 Bottom
Frank J. Callahan	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Top
Kevin R. Byrnes 	Battalion Chief 	NEW YORK CITY FIRE DEPARTMENT 	2/4/2004	21 Bottom
Ronald W. Thomas	Firefighter	WELLSVILLE VOLUNTEER FIRE DEPARTMENT	4/29/2007	  1 Bottom
Patrick O’Connor	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/12/1917	  3 Top
Joseph Finger	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/25/1906	  1 Bottom
"Thomas E. O’Brien, Jr."	Firefighter	WILMINGTON FIRE DEPARTMENT	4/15/1949	  4 Top
John J. Crean	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/27/1904	  3 Bottom
John Keupp	Firefighter	NEW YORK CITY FIRE DEPARTMENT	12/29/1920	  6 Top
Kenneth Kerr	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/15/2000	  5 Bottom
Lewis Near	Firefighter	ROOSEVELT FIRE DEPARTMENT	1/1/1978	  8 Bottom
Stephen M. Johnson 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	8/6/2004	20 Bottom
Frank C. Smith	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/14/1973	  7 Top
Carl F. Asaro	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  2 Top
Robert V. Buffham	Firefighter	LOCKPORT FIRE DEPARTMENT	2/8/1925	  4 Top
Edwin Hoffman	Firefighter	BUFFALO FIRE DEPARTMENT	8/6/1929	  4 Top
William Hill	Firefighter	BUFFALO FIRE DEPARTMENT	3/21/1929	  4 Top
Peter L. Freund	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  2 Bottom
John P. Bresnahan	2nd Assistant Chief	SNYDER FIRE DEPARTMENT	6/3/1966	  7 Top
Salvatore Deiosso	Engineer	ROSLYN FIRE DEPARTMENT	10/9/1965	  8 Top
Charles J. Margiotta	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Bottom
Michael J. Gorumba	Firefighter	GARDEN CITY FIRE DEPARTMENT	8/28/2001	  6 Bottom
Thomas D. Hassett	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/13/1922	  6 Top
Thomas F. Halpin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/26/1906	  1 Bottom
Patrick D. Byrne	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  9 Bottom
Thomas P. DeAngelis	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Top
Albert E. Donovan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/21/1924	  5 Top
William H. Rush	Engineer	NEW YORK CITY FIRE DEPARTMENT	11/12/1906	  2 Bottom
John J. Cassidy 	Battalion Chief 	NEW YORK CITY FIRE DEPARTMENT 	1/21/2015	  1 Bottom
Maynard M. Ham	Fire Police	RED HOOK FIRE COMPANY	8/25/1972	  7 Top
Michael J. Fahy 	Deputy Chief 	NEW YORK CITY FIRE DEPARTMENT	9/27/2016	  4 Top
John R. Baker	Assistant Chief	SHORT TACT FIRE DEPARTMENT	3/14/1970	  8 Bottom
Joseph W. Pasquale	Firefighter	RYE FIRE DEPARTMENT	6/9/1974	  8 Top
Carlos R. Lillo	Paramedic	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  2 Top
Matthew E. Barnes	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Top
Michael Schmidt	Firefighter	BUFFALO FIRE DEPARTMENT	12/5/1925	  5 Top
Fordham O’Dell	Lieutenant	NORTH BELLMORE FIRE DEPARTMENT	4/21/1932	  8 Bottom
George Carbine	Firefighter	BUFFALO FIRE DEPARTMENT	9/5/1926	  5 Top
John J. McAvoy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  2 Bottom
John J. Brodbeck	Firefighter	COPAKE FIRE DEPARTMENT	11/8/1946	  2 Top
Edward J. Day	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Bottom
"William Bailey, Jr."	Battalion Chief	TROY FIRE DEPARTMENT	4/17/1917	  2 Top
"Faustino Apostol, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Top
Tempest Hunter	Firefighter	NANUET FIRE ENGINE COMPANY	3/12/1967	  7 Top
Joseph L. Norman	Firefighter	CAMPBELL FIRE DEPARTMENT	1/1/1976	  8 Top
Michael T. Carroll	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3  Bottom
John F. McNamara 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	8/9/2009	  2 Top
"Walter Bozenko, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/14/1971	  7 Top
"Joseph Sparacino, Jr."	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	8/30/1976	  8 Top
Charles R. Mendez	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Top
Joseph Kadlec	Firefighter	NORTH TARRYTOWN FIRE DEPARTMENT	1/1/1980	  9 Top
Peter Brennan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Bottom
Henry J. Hinton	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	2/22/1974	  8 Bottom
Matthew J. Cummings	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	10/25/1918	  3 Top
Thomas Rutledge	Firefighter	SOUND BEACH FIRE DEPARTMENT	1/1/1970	  8 Bottom
Richard M. Burke 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	8/13/2005	20 Bottom
Daniel E. Wisniewski	Firefighter	BUFFALO FIRE DEPARTMENT	9/9/1956	  8 Top
Edward J. Driscoll	Captain	TROY FIRE DEPARTMENT	12/7/1967	  9 Bottom
Adrian B. Curnan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/19/1922	  6 Top
Garret Pierce	Firefighter	NIAGARA FALLS FIRE DEPARTMENT	3/26/1923	  6 Top
James O’Dwyer	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/30/1926	  5 Top
Hugh F. O’Neill	Firefighter	LAKEVIEW FIRE DEPARTMENT	1/1/1974	  8 Top
George S. Rice	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/2/1978	  9 Top
John Degnan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/7/1931	  4 Top
Gregory R. Sikorsky	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Bottom
Richard Dewling	Ex-Chief	SOUTH HEMPSTEAD FIRE DEPARTMENT	3/6/1947	  2 Bottom
"Thomas P. Cullen, III"	Firefighter 	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Top
William F. Carlock	Firefighter	NEW YORK CITY FIRE DEPARTMENT	8/29/1927	  5 Top
Donald Herbert	Firefighter	BUFFALO FIRE DEPARTMENT	2/21/2006	  3 Top
Virginia A. Spinelli 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	12/19/2011	  6 Bottom
William B. Webb	Chief	MIDWAY FIRE DEPARTMENT	5/27/1964	  7 Top
Carl Herer	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/10/1967	  9 Bottom
"Albert F. Rusack, Jr."	Firefighter	SALEM FIRE DEPARTMENT	10/2/1980	  9 Top
Leo Grenier	Firefighter	WEST LEYDEN FIRE DEPARTMENT	1/1/1976	 8 Top
Thomas Beagle	Chief	SOLVAY FIRE DEPARTMENT	8/15/1960	  7 Bottom
Bruce H. Gary	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Top
Frederick L. Brain	Fire Police	MILLER PLACE FIRE DEPARTMENT	4/24/2000	  3 Bottom
John F. Whelan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/9/1969	  9 Bottom
Casimir Klubek	Firefighter	LACKAWANNA FIRE DEPARTMENT	7/8/1977	  8 Top
Stewart W. Powell	Firefighter	NORWOOD VOLUNTEER FIRE DEPARTMENT	7/12/1943	  4 Bottom
Thomas J. Greaney 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT  	1/5/2014	  4 Top
Daniel O’Callaghan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  8 Top
Martin T. Fullam 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT	1/28/2013	19 Top
Edward J. Knapp	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/7/1927	  5 Top
John W. T. F. Kocher	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/15/1918	  2 Top
Theodore F. Freed	Lieutenant	ROCHESTER FIRE DEPARTMENT	5/15/1968	  9 Bottom
Raphael A. Fox	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/1/1916	  3 Top
Edward J. McDonagh 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	11/12/2017	  8 Top
Christopher Quinn	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/11/1926	  5 Top
Walter Hauck	Firefighter	ROCHESTER FIRE DEPARTMENT	1/6/1978	  8 Bottom
David Lemen	Firefighter	NORTH HORNELL FIRE DEPARTMENT	1/1/1979	  9 Top
Thomas M. Butler	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  1 Top
Albert DeCourville	Firefighter	TROY FIRE DEPARTMENT	4/18/1917	  2 Top
Philip F. Roos	Firefighter	MOUNT VERNON FIRE DEPARTMENT	12/4/1972	  7 Top
Frederick J. Longmore	Ladderman	ROCHESTER FIRE DEPARTMENT	5/4/1930	  4 Top
John J. Schoppmeyer	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	7/18/1922	  6 Top
Frank J. Reid	Firefighter	LOCKPORT FIRE DEPARTMENT	2/13/1909	  5 Top
Michael E. Brennan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  2 Top
George Brown	Protective	ALBANY FIRE DEPARTMENT	6/17/1919	  6 Top
Jerome R. O’Connor	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	1/19/1971	  7 Top
Joseph L. D’ Ovidio	Firefighter	ROCHESTER FIRE DEPARTMENT	7/14/1968	  9 Bottom
Jacob Gallagher	Firefighter	BUFFALO FIRE DEPARTMENT	8/12/1924	  6 Top
William Ovenburg	Driver	SAINT PAUL BOULEVARD FIRE DEPARTMENT	4/14/1960	  8 Bottom
Mathew Miller	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/30/1908	  6 Bottom
Merle L. Nell 	Fire Police Capt. 	VOLUNTEER FIRE COMPANY OF VERNON 	11/26/2016	13 Top
William F. Healy	Firefighter	NEW YORK CITY FIRE DEPARTMENT	6/6/1910	  5 Bottom
"Calixto Anaya, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Bottom
Thomas F. Brennan	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/26/1920	  6 Top
Donald C. Pfarner	Firefighter	BOSTON FIRE DEPARTMENT	7/17/1978	  9 Top
Eugene H. Schmitt	Firefighter	BOSTON FIRE DEPARTMENT	7/15/1978	  9 Top
Jeremiah Leoney	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/27/1913	  4 Bottom
Timothy E. Coughlin	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	10/28/1929	  4 Top
Hobart A. Abbey	Firefighter	FOREST VIEW/GANG MILLS FIRE DEPARTMENT	6/23/1972	  7 Top
Thomas A. Lynn 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	10/23/2015	  6 Top
Joseph F. Dunn	Captain	BETHPAGE FIRE DEPARTMENT	5/25/1978	  9 Top
"Joseph Johnson, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/1/1973	  7 Top
Emil K. Harnischfeger 	Supervising Fire Marshal 	NEW YORK CITY FIRE DEPARTMENT 	5/6/2013	20 Top
James F. Barrett	Firefighter	NEW YORK CITY FIRE DEPARTMENT	5/13/1910	  5 Bottom
Andrew A. Fredericks	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Top
Russell Moll	Firefighter	STONY BROOK FIRE DEPARTMENT	1/1/1927	  5 Top
Vincent R. Ungaro 	Captain 	NEW YORK CITY FIRE DEPARTMENT 	10/1/2016	18 Top
Robert E. Shuler	Firefighter	SYRACUSE FIRE DEPARTMENT	4/9/1978	  9 Top
James W. Connelly	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	5/17/1970	  8 Bottom
Daniel Perricone	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/23/1974	  8 Top
J. Marion Harrison	Firefighter	HUNTINGTON FIRE DEPARTMENT	1/1/1927	  5 Top
Phillip Bickell	Firefighter	ROME FIRE DEPARTMENT	07/31/1866	  6 Top
Harry Wilson	Firefighter	NEW YORK CITY FIRE DEPARTMENT	7/17/1920	  6 Top
Vincent J. Albanese 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	7/31/2010	19 Bottom
Arthur J. Rank	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/31/1904	  3 Bottom
"Joseph J. Angelini, Jr."	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Top
Donald Marsh	Firefighter	CICERO FIRE DEPARTMENT	1/1/1980	  9 Top
Thomas McNamera	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/23/1907	  6 Bottom
Zigmund Klemowski	Firefighter	BUFFALO FIRE DEPARTMENT	7/21/1976	  8 Top
Harvey Wales	Firefighter	NIAGARA FALLS FIRE DEPARTMENT	11/29/1906	  1 Bottom
"Howard Mayforth, Sr."	Firefighter	HILLCREST FIRE DEPARTMENT	6/5/1976	  8 Top
Henry Holster	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/24/1927	  5 Top
John T. Dunne	Captain	NEW YORK CITY FIRE DEPARTMENT	3/28/1971	  7 Top
"William Maurer, II"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/2/1912	  4 Bottom
Charles Hunt	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	4/15/1977	  9 Top
Joseph H. Henehan	Firefighter	BINGHAMTON FIRE DEPARTMENT	10/31/1938	  1 Top
Patrick Daly	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/26/1925	  5 Top
John J. Vaughan 	Battalion Chief 	NEW YORK CITY FIRE DEPARTMENT 	10/26/2009	15 Top
Francis Keller	Firefighter	GREENLAWN FIRE DEPARTMENT	8/16/1995	  8 Bottom
John C. Russell	Firefighter	BINGHAMTON FIRE DEPARTMENT	9/28/1975	  8 Top
Thomas J. Connolly	Firefighter	NEW YORK CITY FIRE DEPARTMENT	4/10/1924	  5 Top
Brian Cannizzaro	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  7 Top
Robert J. Cramer	Firefighter	BEACON FIRE DEPARTMENT	1/29/1955	  8 Bottom
William Harrison	Firefighter	ELMIRA FIRE DEPARTMENT	3/30/1915	  3 Top
"Louis J. Farrell, II"	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/24/1922	  6 Top
Louis Barmore	Firefighter	PEEKSKILL FIRE DEPARTMENT	8/1/1918	  2 Top
William J. Weiland	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	8/13/1905	  2 Bottom
Joseph P. Gullickson	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Top
Caleb F. Underhill	Firefighter	WHITE PLAINS FIRE DEPARTMENT	2/3/1907	  6 Bottom
"Harry Wanamaker, Jr. "	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	7/20/2010	18 Bottom
Terence S. Hatton	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  4 Bottom
Joseph Giehler	Firefighter	MILLER PLACE FIRE DEPARTMENT	1/1/1972	  7 Top
Joseph Agnello	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Top
James M. Sullivan	Training Instructor	BINGHAMTON FIRE DEPARTMENT	11/10/1962	  7 Bottom
Oliver G. Davison	Captain	BABYLON FIRE DEPARTMENT	3/11/1967	  9 Bottom
Edward Gorry	Lieutenant	GARDEN CITY FIRE DEPARTMENT	12/14/1951	  7 Bottom
Vernon F. Bump	Firefighter	GLOVERSVILLE FIRE DEPARTMENT	12/20/1975	  8 Top
Leonard Wood	Lieutenant	BUFFALO FIRE DEPARTMENT	9/30/1967	  9 Bottom
Garrett W. Loomis    	Assistant Chief    	SACKETS HARBOR FIRE DEPARTMENT    	4/11/2010	  3 Bottom
John Pache	Firefighter	AVIATION VOLUNTEER FIRE COMPANY	9/8/1995	  8 Bottom
John D. Marshall	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Bottom
Joseph Riceoppo	Firefighter	FLORIDA FIRE DEPARTMENT	7/3/1950	  7 Bottom
John F. O’Neill 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	2/14/2011	16 Bottom
James S. Foote 	Firefighter 	SUMMIT FIRE DEPARTMENT 	11/18/2014	  3 Bottom
Joseph J. Neidert	Lieutenant	ROCHESTER FIRE DEPARTMENT	7/8/1915	  3 Top
Raymond J. Pfeifer 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	5/28/2017	17 Bottom
Donald J. Burns	Assistant Chief	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  6 Bottom
Michael S. Carlo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Top
William J. Hoar	Firefighter	TROY FIRE DEPARTMENT	4/18/1917	  2 Top
Ryan T. Barker	Firefighter	WEST HILL FIRE DEPARTMENT	7/8/2008	  1 Top
John R. Higbie	Captain	BABYLON FIRE DEPARTMENT	2/5/1916	  3 Top
Fredrick G. Brandt	Firefighter	NEW YORK CITY FIRE DEPARTMENT	3/25/1922	  6 Top
Wayne Rosen	Firefighter	AKRON FIRE DEPARTMENT	6/22/1999	  2 Bottom
Douglas C. Miller	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Top
John K. Gremse 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	9/16/2014	  4 Bottom
Edward B. Bellefountaine	Firefighter	GREENPORT FIRE DEPARTMENT	1/1/1977	  9 Top
George F. McGeary	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	3/2/1905	  2 Bottom
Joseph Hentz	Lieutenant	ELMIRA FIRE DEPARTMENT	1/1/1968	  9 Bottom
Francis Southern	Firefighter	SARATOGA SPRINGS FIRE DEPARTMENT	2/11/1975	  8 Top
Carl Capobianco 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	7/29/2011	  4 Bottom
Charles E. Owens	Firefighter	UTICA FIRE DEPARTMENT	2/6/1907	  6 Bottom
Anthony T. Contrera	Firefighter	AUBURN CITY FIRE DEPARTMENT	3/30/1960	  7 Bottom
Thomas P. Sheridan	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	5/28/1971	  7 Top
James DiGenova	Captain	SYRACUSE FIRE DEPARTMENT	9/24/1974	  8 Top
Peter J. Casey 	Captain` 	NEW YORK CITY FIRE DEPARTMENT 	7/3/2013	  4 Top
John R. Fischer	Captain	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  9 Bottom
Welles R. Crowther	Firefighter	NYACK FIRE DEPARTMENT	9/11/2001	  3 Top
Charles McPherson	Firefighter	GATES-CHILI FIRE DEPARTMENT	1/1/1975	  8 Top
Joseph A. Heslin	Firefighter	NEW YORK CITY FIRE DEPARTMENT	1/27/1927	  5 Top
Gregg A. Atlas	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Bottom
Gerald D. Crowley	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/14/1979	  9 Top
Michael Boyle	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  3 Top
Anthony Rodriguez	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  9 Bottom
Phillip C. Smith	Firefighter	NEW YORK CITY FIRE DEPARTMENT	10/5/1968	  9 Bottom
Martin Haley	Firefighter	BUFFALO FIRE DEPARTMENT	1/8/1920	  6 Top
Joseph Maffeo	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  5 Top
Joseph A. Morstatt 	Firefighter 	NEW YORK CITY FIRE DEPARTMENT 	3/5/2016	  5 Top
Francis E. Furch	Firefighter	BINGHAMTON FIRE DEPARTMENT	12/31/1977	  9 Top
Carl Bauer	Firefighter	ARLINGTON FIRE DEPARTMENT	7/3/1974	  8 Top
Eric T. Olsen	Firefighter	NEW YORK CITY FIRE DEPARTMENT	9/11/2001	  8 Bottom
James W. McCusker	Firefighter	NEW YORK CITY FIRE DEPARTMENT	11/4/1906	  2 Bottom
Edmund A. McNulty	Lieutenant	NEW YORK CITY FIRE DEPARTMENT	4/17/1968	  9 Bottom
John J. Dooley	Battalion Chief	NEW YORK CITY FIRE DEPARTMENT	6/6/1931	  4 Top
Harold Zimmer	Firefighter	SAINT PAUL BOULEVARD FIRE DEPARTMENT	2/3/1968	  5 Top
Thomas G. Roberts 	Lieutenant 	NEW YORK CITY FIRE DEPARTMENT 	8/12/2009	  2 Bottom
Fred D. Osterman	President	FLEMING FIRE DEPARTMENT NO. 2	3/18/1954	  7 Bottom
Stanley L. Duda	Firefighter	SYRACUSE FIRE DEPARTMENT	4/9/1978	  9 Top
George Stragar	Firefighter	JAMESVILLE FIRE DEPARTMENT	1/1/1974	  8 Top
"Robert MacNish, Jr."	Ex-Chief	AUSTERLITZ FIRE DEPARTMENT	5/9/1976	  3 Top
Martin Hoelche	Firefighter	BUFFALO FIRE DEPARTMENT	10/8/1924	  6 Top
Michael M. Karkel	Firefighter	NEW YORK CITY FIRE DEPARTMENT	2/26/1920	  6 Top
James Galvin	Relief Driver	ALBANY FIRE DEPARTMENT	04/07/1875	16 Bottom
John J. O’Brien	Engineer	ROCHESTER FIRE DEPARTMENT	11/9/1907	  6 Bottom
